,E_I_Stim_100_ISI_new,E_I_Stim_25_ISI_new,E_I_Stim_50_ISI_new,E_I_Stim_300_ISI_new,Theta_Burst_MCIII_new_variant_2,E_I_Stim_10_ISI_new,BTSP_test_pathway_MCIII_new_software,Baseline_Stim_MCIII_new_software
channel 1,[500. 600. 700.],[500. 525. 550.],[500. 550. 600.],[ 500.  800. 1100.],[ 500. 510. 520. 530. 540. 650. 660. 670. 680. 690. 800. 810. 820. 830. 840. 950. 960. 970. 980. 990. 1100. 1110. 1120. 1130. 1140.],[500. 510. 520.],[500. 550. 600. 650. 700. 750. 800. 850. 900. 950.],[500. 550.]
channel 2,[1500. 1600. 1700.],[1500. 1525. 1550.],[1500. 1550. 1600.],[1500. 1800. 2100.],"[ 500.  510.  520.  530.  540.  650.  660.  670.  680.  690.  800.  810.
  820.  830.  840.  950.  960.  970.  980.  990. 1100. 1110. 1120. 1130.
 1140.]",[1500. 1510. 1520.],,[800. 850.]
