,E_I_Stim_100_ISI_new,E_I_Stim_25_ISI_new,E_I_Stim_50_ISI_new,Theta_Burst_MCIII_new_edited,E_I_Stim_300_ISI_new,E_I_Stim_10_ISI_new,BTSP_test_pathway_MCIII_new_software,Baseline_Stim_MCIII_new_software
channel 1,[500. 600. 700.],[500. 525. 550.],[500. 550. 600.],[ 500. 510. 520. 530. 540. 649.7 659.7 669.7 679.7 689.7 799.4 809.4 819.4 829.4 839.4 949.1 959.1 969.1 979.1 989.1 1098.8 1108.8 1118.8 1128.8 1138.8],[ 500.  800. 1100.],[500. 510. 520.],[500. 550. 600. 650. 700. 750. 800. 850. 900. 950.],[500. 550.]
channel 2,[1500. 1600. 1700.],[1500. 1525. 1550.],[1500. 1550. 1600.],"[ 500.   510.   520.   530.   540.   649.7  659.7  669.7  679.7  689.7
  799.4  809.4  819.4  829.4  839.4  949.1  959.1  969.1  979.1  989.1
 1098.8 1108.8 1118.8 1128.8 1138.8]",[1500. 1800. 2100.],[1500. 1510. 1520.],,[800. 850.]
